分行,工资总额,T+0,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+7~T+25
福州分行,1281985231,491594579.2,88957259.48,74768009.18,54237283.31,1121591.69,50916787.95,27877555.1,-25651612.86,68256878.13
厦门分行,2011494086,588065408.7,259633433.4,85634767.75,86081153.92,72825060.16,40176795.97,66670345.21,7055765.35,442892915.3
宁德分行,606319883.8,174632057.4,70570899.93,32354310.15,28050139.88,21247463.54,7734970.57,24821092.76,15528978.02,101042268.4
莆田分行,498818267.5,78370647.79,37788133.52,32336947.53,29628520.36,40918192.27,33018790.31,11866699.57,21455646.78,81206910.15
泉州分行,763647271.1,373299483.5,75694680.54,21216954.47,19052354.99,39577812.45,10103072.83,21563775.68,16713879.36,83964547.68
漳州分行,595809857.6,185901488.4,57431507.01,27524482.53,22411364.17,27146767.96,10891950.18,-4246998.95,16222466.36,125711722.6
龙岩分行,448735629.8,114973583.7,43360464.04,22371899.05,13248377.83,-3613748.9,19846968.41,26233357.12,91928249.05,101026375.7
三明分行,336103186.6,50990444.36,27414115.84,5743113.54,26074892.38,-12171539.69,6304654.69,17669698.76,-1177884.99,56356130.26
南平分行,166913379.1,39722782.2,15380569.89,4152503.56,5678844.8,3137288.94,5821983.02,6659408.89,-539269.17,40915176.12
苏州分行,178425890.5,55455310.86,14088035.77,4980374.02,5199061.22,-43155728.86,2248840.89,2198618.89,54307070.26,7719266.12
上海分行,1971946194,345444800.1,26456406.01,190055653.9,59421393.69,232449582.4,24610896.83,130588162,-96797259.17,-190123529.7
北京分行,1158882719,311763402.7,150696441.7,60313644.28,40241244.75,32041103.17,46196126.77,20995390,36534274.42,223549452.4
深圳分行,900705578.2,289413165.4,107024851.5,40846082.01,27184864.55,30415140.38,24437213.91,9190560.7,-1696467.79,182490135.6
重庆分行,524972996.9,156796204,45229890.3,28106287.47,10478374.47,18870134.7,12243787.5,19359495.53,6519118.3,97647058.77
杭州分行,794735301.4,242626497.7,83780795.84,70775156.87,26059547.15,35068122.71,13850173.91,45538822.94,18472739.41,141825812.7
长沙分行,417414307.5,156606903.1,37339714.16,17970865.18,18474464.54,12108091.1,6962639.52,6075498.05,11876836.6,74987175.27
济南分行,991258007.6,308288491.5,117189595.1,39171257.23,24299286.52,26815818.82,26490882.03,26184849.97,18502415.63,183018377.8
宁波分行,192552019.9,56784009.91,18843213.26,12389022.33,6593293,8444678.41,4425426.6,3398315.39,3550558.65,47090235.79
广州分行,1595618117,498404055,159137873,68624775.19,56244858.13,46847106.5,45553086.82,44627728.71,14509130.42,255688446.1
南京分行,1319355612,411267731.4,125567730.1,64078496.38,32837715.21,55895242.83,35990939.04,23124808.32,12794202.18,318508832.2
武汉分行,856360762,228102790.3,74102206.99,57746312.87,27997594.71,35086167.86,33777046.77,31280797.64,19012076.79,160320849.7
沈阳分行,291913216.9,104248601.4,1483821.59,12878336.52,6019200.03,6566608.61,-18969426.88,2942391.57,-4143329.61,120148389.5
成都分行,686408078.7,290909630.5,58099818.43,28193415.44,19589415.04,20747004.49,13607183.99,16110261.63,7466565.7,65990130.87
天津分行,296786396,106014685,39504991.37,9208966.36,11556758.01,10786436.35,8186230.19,2179659.21,7423258.55,51332786.54
西安分行,585532672.7,196557254,53225876.17,23928976.77,47254709.27,14785354.13,7823275.24,23395193.15,12687326.08,-38214384.18
郑州分行,343282069.8,110889480,24778780.46,10557716.58,13457046.14,15422246.86,12019638.47,6446663.67,36482793.78,28005872.03
昆明分行,205938009.2,72759941.27,25027218.11,14950960.14,11556363.11,6550789.16,72342.18,3793405.32,5176293.25,36631938.84
太原分行,623684448.3,186076935.8,61034112.57,30991464.31,25814539.41,14897791.26,15376388.85,16598707.45,-1215835.5,60578451.26
合肥分行,440327667,138194437.9,45666932.45,27898028.03,-52530516.75,17265735.37,10658146.45,117008156.9,16275499.92,46276434.17
南昌分行,203029225.6,59593737.63,28451234.54,13528659.78,5009269.64,8156195.6,7439393.72,2621628.65,-944154.65,19679975.09
乌鲁木齐分行,205621922.5,69329865.68,16061521.45,9304075.14,5159305.76,9496294.03,5166677.38,3720718.5,3287861.46,52395164.9
青岛分行,220393022.5,76576104.79,22602354.45,9856656.6,12106634.99,4700847.65,9647850.68,10654594.3,4874673.44,36087354.35
大连分行,124155379.1,50007689.95,13697831.97,6264556.98,5280192.55,615499.44,3856172.21,2762301.22,2724695.34,22420132.73
南宁分行,161916067.7,91192789.81,13237612.32,6579947.01,-21225117.12,7342302.04,154394.83,-90118581.5,16035520.58,232378067.6
哈尔滨分行,138394298,47236617.75,13719747.19,8100151.59,-5543941.12,5755866.53,3149961.12,2068904.89,3702531.55,32713901.28
石家庄分行,360601107,106993645.1,35784204.78,12883908.15,19051205.16,15319319.63,14485354.58,23444881.99,9287884.44,46056999.14
长春分行,333380918.1,56514646.05,48387378.45,18643994.83,15308502.18,14421068.61,29187926.14,16540120.88,15264608.69,40298814.09
呼和浩特分行,500463008.1,131886250.8,61504015.12,40385429.76,33981674.75,12655621.1,19135975.55,-10578514.23,12754058.14,99042083.83
贵阳分行,90833934.12,30422956.12,9232774.75,6625134.47,4201319.74,3898255.85,1457899.16,2222181.73,1516028.4,13678428.73
兰州分行,33701522.56,12069111.96,3473771.51,1564158.1,1316284.39,1484206,1586338.7,1280778.22,554843.91,5877702.34
海口分行,58166493.12,19693434.36,4464504.49,3305565.29,1835416.95,1730701.62,2401010.28,487352.3,1580916.17,10443177.47
西宁分行,17882598.74,6087888.61,2960649.68,1350414.35,1067345.66,709078.44,502758.09,366867.13,-135328.56,189925.3
银川,17750832.74,6138641.27,1954276.58,581567.16,1575689.57,385558.24,558709.99,431883.15,325784.93,3795954.76
拉萨,16745556.61,6348808.88,1166799.67,1072401.72,1512572.75,914884.45,1215930.19,518351.23,-159607.94,4500681.22
